[2024-03-26 08:36:42,517: INFO: main: Welcome to our custom log]
[2024-03-26 08:39:15,045: INFO: main: Welcome to our custom log]
[2024-04-02 07:57:09,391: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 07:59:26,719: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 07:59:54,087: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 08:01:09,396: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 08:01:09,399: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-02 08:01:09,402: INFO: common: created directory at: artifacts]
[2024-04-02 08:01:09,408: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-02 08:01:09,412: INFO: 3625028615: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-02 08:01:32,097: INFO: 3625028615: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-02 08:48:41,284: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-04-02 08:48:41,289: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 08:48:41,290: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-02 08:48:41,291: INFO: common: created directory at: artifacts]
[2024-04-02 08:48:41,291: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-02 08:48:41,292: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-02 08:49:13,758: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-02 08:49:14,604: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x============x]
[2024-04-02 20:25:44,380: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 20:25:44,387: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-02 20:25:44,390: INFO: common: created directory at: artifacts]
[2024-04-02 20:25:44,391: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-02 20:25:48,332: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-02 22:26:07,229: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-04-02 22:26:07,233: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 22:26:07,238: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-02 22:26:07,239: INFO: common: created directory at: artifacts]
[2024-04-02 22:26:07,240: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-02 22:26:07,241: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-02 22:26:11,980: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-02 22:26:12,637: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x============x]
[2024-04-02 22:26:12,638: INFO: main: **************************]
[2024-04-02 22:26:12,638: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-04-02 22:26:12,643: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-02 22:26:12,646: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-02 22:26:12,647: INFO: common: created directory at: artifacts]
[2024-04-02 22:26:12,649: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-02 22:26:14,954: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-02 22:26:15,207: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==============x]
[2024-04-06 10:58:04,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 10:58:04,104: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 10:58:04,107: INFO: common: created directory at: artifacts]
[2024-04-06 10:58:04,109: INFO: common: created directory at: artifacts\training]
[2024-04-06 11:05:32,983: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 11:05:32,989: INFO: common: yaml file: params.yaml loaded successfully]
